Unnamed: 0,id,nom,sexe,naissance,race,pays,info,infoyear
294,aXFKbGxtY2wzeEU3Zno4SFFSTVhhZz09,SARAFINA,F,2007,PS,FR,sarafina  f.ps. 3 a.,2010
295,MUFIbDcwdEM1TWVuQXBnckRKL3EvZz09,BEHKABAD,M,2007,PS,FR,behkabad  m.ps. 3 a.,2010
296,NFVobmo3Zm4zNFZ5VHhzOGFXWkJtUT09,MARINOUS,M,2006,PS,FR,marinous  m.ps. 4 a.,2010
297,MnRZSnpld2dENHZCQlpydS9RZkRZZz09,VICTOIRE PISA,M,2007,PS,JPN,victoire pisa jpn m.ps. 3 a.,2010
298,dVd3OUVvWCtrdnFxcVVyMWRWNHNmdz09,LIANG KAY,M,2005,PS,GER,liang kay ger m.ps. 5 a.,2010
299,SDl5SnR4Rmd6V3oyV0dFNVVTMkcxQT09,POUVOIR ABSOLU,M,2005,PS,GB,pouvoir absolu (gb) m.ps. 5 a.,2010
300,cWNmWU43djZIbDhsSVhzQ3BrWlJ1UT09,WIENER WALZER,M,2006,PS,GER,wiener walzer ger m.ps. 4 a.,2010
301,N3pWTlNoMTFVRXd3R3hiVHV4SjVEdz09,TIMOS,M,2005,PS,GER,timos ger m.ps. 5 a.,2010
302,ME03Q3ZUVFNjN09uSjc2anZVOUdqdz09,DUNCAN,M,2005,PS,GB,duncan gb m.ps. 5 a.,2010
303,R1pOYmw0WDNHVEN5Vk1ZcXpJMVozUT09,PLUMANIA,F,2006,PS,GB,plumania (gb) f.ps. 4 a.,2010
304,OUJEVm4yNXZYaDdFZFEvY1JudlZiUT09,CAPE BLANCO,M,2007,PS,IRE,cape blanco ire m.ps. 3 a.,2010
305,eTRZem96TFdpWjd0SXNHWU92R1h5Zz09,LOPE DE VEGA,M,2007,PS,IRE,lope de vega ire m.ps. 3 a.,2010
306,dVl6cnIxd1ZTSlg0TVZJK0g4QnVKZz09,MIDAS TOUCH,M,2007,PS,GB,midas touch gb m.ps. 3 a.,2010
307,eEhRbUt5dzMvaHNCVGVUM01xL1JMQT09,PLANTEUR,M,2007,PS,IRE,planteur (ire) m.ps. 3 a.,2010
308,Vmx6VGluUndKMzd2TDZZTnJpWHIwQT09,DANEDREAM,F,2008,PS,GER,danedream ger f.ps. 3 a.,2011
309,aEI5WHVyaVVDWGtHZExZWjlOUnBZZz09,SNOW FAIRY,F,2007,PS,IRE,snow fairy ire f.ps. 4 a.,2011
310,bHVNbFlaeFJTRWhPc3NLeksvSSswQT09,SO YOU THINK,M,2006,PS,NZ,so you think nz m.ps. 5 a.,2011
311,QzNZVWIrMnp1SmI5ZTFkMGd3NmlOdz09,SILVER POND,M,2007,PS,FR,silver pond  m.ps. 4 a.,2011
312,Vmo0cmJtL052cGU0aW4xUVVPNEV4dz09,GALIKOVA,F,2008,PS,FR,galikova  f.ps. 3 a.,2011
