,NumSire,NomCheval,Suffixe,Race,Sexe,AnneeNaissance,link
119,OVpZYW9WQ1g1cHY5RGhsUGxFSGpqQT09,AVENTINO                 ,JPN,PS   ,M,2004,/fr/cheval/OVpZYW9WQ1g1cHY5RGhsUGxFSGpqQT09
120,TlVwdUJtc1N6SEFGZk1aTThYYVRGdz09,SOLDIER OF FORTUNE       ,IRE,PS   ,M,2004,/fr/cheval/TlVwdUJtc1N6SEFGZk1aTThYYVRGdz09
121,cnphcHp4eGdSNHFJOVBFYk05MmZBZz09,SATONO NOBLESSE          ,JPN,PS   ,M,2010,/fr/cheval/cnphcHp4eGdSNHFJOVBFYk05MmZBZz09
122,MnRZSnpld2dENHZCQlpydS9RZkRZZz09,VICTOIRE PISA            ,JPN,PS   ,M,2007,/fr/cheval/MnRZSnpld2dENHZCQlpydS9RZkRZZz09
123,ajVkellKNDFIQnFMQVVmVzVnSmt6dz09,ERUPT                    ,IRE,PS   ,M,2012,/fr/cheval/ajVkellKNDFIQnFMQVVmVzVnSmt6dz09
124,OEVXa3VKb1gwRzVtenBOdkFVdjJBZz09,GHAIYYATH                ,IRE,PS   ,M,2015,/fr/cheval/OEVXa3VKb1gwRzVtenBOdkFVdjJBZz09
125,Y1NPME5DajJaSnVhQjgwczVJZlNRQT09,KESAMPOUR                ,FR ,PS   ,M,2009,/fr/cheval/Y1NPME5DajJaSnVhQjgwczVJZlNRQT09
126,c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09,CLOTH OF STARS           ,IRE,PS   ,M,2013,/fr/cheval/c2FDVXVlclNjNExrNk9ZSjJLaEgwUT09
127,Vmx6VGluUndKMzd2TDZZTnJpWHIwQT09,DANEDREAM                ,GER,PS   ,F,2008,/fr/cheval/Vmx6VGluUndKMzd2TDZZTnJpWHIwQT09
128,TjA5WmVBelpYQnRiSXhBS0Fyck1GUT09,TREASURE BEACH           ,GB ,PS   ,M,2008,/fr/cheval/TjA5WmVBelpYQnRiSXhBS0Fyck1GUT09
129,MHlnYUcrbnUvU0trTU1Gd1krQjhFQT09,GOLD TRIP                ,FR ,PS   ,M,2017,/fr/cheval/MHlnYUcrbnUvU0trTU1Gd1krQjhFQT09
130,RWQ1TlhMdGFJMUhUS0dhQksxc3M1QT09,CLINCHER                 ,JPN,PS   ,M,2014,/fr/cheval/RWQ1TlhMdGFJMUhUS0dhQksxc3M1QT09
131,d2krK3hvYUhLdlRLZjZMTzRZK2FnUT09,ERNEST HEMINGWAY         ,IRE,PS   ,M,2009,/fr/cheval/d2krK3hvYUhLdlRLZjZMTzRZK2FnUT09
132,aElqYUloS2ZkRzRIVFZXUmpBRTlRUT09,TULLAMORE                ,USA,PS   ,M,2005,/fr/cheval/aElqYUloS2ZkRzRIVFZXUmpBRTlRUT09
133,K0Z2WXU4MVRkUnBKTjhmRUVNYVRCdz09,DSCHINGIS SECRET         ,GER,PS   ,M,2013,/fr/cheval/K0Z2WXU4MVRkUnBKTjhmRUVNYVRCdz09
134,ekZpcjZmZk0wQ3dudmlQTGpnc2M1dz09,DAR RE MI                ,GB ,PS   ,F,2005,/fr/cheval/ekZpcjZmZk0wQ3dudmlQTGpnc2M1dz09
135,VERWUENCaGRhQUNZY1drMjdFNEJtZz09,RED ROCK CANYON          ,IRE,PS   ,M,2004,/fr/cheval/VERWUENCaGRhQUNZY1drMjdFNEJtZz09
136,Mm9SblZqMzJiYkUyK3EwNkdVTkJ1QT09,TIBERIAN                 ,FR ,PS   ,M,2012,/fr/cheval/Mm9SblZqMzJiYkUyK3EwNkdVTkJ1QT09
137,TnQrMC85ZWdnMFJtZ0ZRbEZyLzJUQT09,VEDEVANI                 ,FR ,PS   ,M,2013,/fr/cheval/TnQrMC85ZWdnMFJtZ0ZRbEZyLzJUQT09
138,bXN4Y3dmQ1FiOFpPUEU5TU1ZV2xRZz09,BLUE BRESIL              ,FR ,PS   ,M,2005,/fr/cheval/bXN4Y3dmQ1FiOFpPUEU5TU1ZV2xRZz09
139,SDl5SnR4Rmd6V3oyV0dFNVVTMkcxQT09,POUVOIR ABSOLU           ,GB ,PS   ,M,2005,/fr/cheval/SDl5SnR4Rmd6V3oyV0dFNVVTMkcxQT09
